
Grad overflow on iteration 0
Using dynamic loss scale of 65536
Epoch[ 1/100]: loss: 3.3992  EM: 32.4826  F1:42.9611
Epoch[91/100]: loss: 0.0096  EM: 43.1555  F1:54.8807
Epoch[92/100]: loss: 0.0045  EM: 41.9954  F1:54.6188
Epoch[93/100]: loss: 0.0022  EM: 42.4594  F1:54.6466
Epoch[94/100]: loss: 0.0022  EM: 41.9954  F1:53.7676
Epoch[95/100]: loss: 0.0057  EM: 42.4594  F1:54.6482
Epoch[96/100]: loss: 0.0026  EM: 41.5313  F1:53.1714
Epoch[97/100]: loss: 0.0026  EM: 42.2274  F1:55.5198
Epoch[98/100]: loss: 0.0043  EM: 43.1555  F1:55.0020
Epoch[99/100]: loss: 0.0024  EM: 44.3155  F1:56.3256
Epoch[100/100]: loss: 0.0024  EM: 43.8515  F1:55.4629
